variable	inflator	h	fy_year
Grs_int_amt	0.91	1	2014-15
Aust_govt_pnsn_allw_amt	1.06	1	2014-15
Unfranked_Div_amt	0.98	1	2014-15
Frk_Div_amt	0.8	1	2014-15
Dividends_franking_cr_amt	0.83	1	2014-15
Gross_rent_amt	1.07	1	2014-15
Other_rent_ded_amt	1.11	1	2014-15
Rent_int_ded_amt	1	1	2014-15
Rent_cap_wks_amt	1.18	1	2014-15
Net_farm_management_amt	0.96	1	2014-15
Total_PP_BI_amt	1.1	1	2014-15
Total_NPP_BI_amt	1.03	1	2014-15
Total_PP_BE_amt	1.19	1	2014-15
Total_NPP_BE_amt	1.16	1	2014-15
Net_CG_amt	1.3	1	2014-15
Tot_CY_CG_amt	1.21	1	2014-15
Net_PT_PP_dsn	1.27	1	2014-15
Net_PT_NPP_dsn	1.07	1	2014-15
Taxed_othr_pnsn_amt	0.95	1	2014-15
Untaxed_othr_pnsn_amt	1.07	1	2014-15
Other_foreign_inc_amt	1.87	1	2014-15
Other_inc_amt	1	1	2014-15
Div_Ded_amt	0.81	1	2014-15
Intrst_Ded_amt	1.1	1	2014-15
Gift_amt	0.98	1	2014-15
PP_loss_claimed	1	1	2014-15
NPP_loss_claimed	0.9	1	2014-15
Rep_frng_ben_amt	1.05	1	2014-15
Med_Exp_TO_amt	0.73	1	2014-15
Asbl_forgn_source_incm_amt	1.14	1	2014-15
Spouse_adjusted_taxable_inc	0.9	1	2014-15
Net_fincl_invstmt_lss_amt	1.08	1	2014-15
Cr_PAYG_ITI_amt	0.94	1	2014-15
TFN_amts_wheld_gr_intst_amt	1.09	1	2014-15
TFN_amts_wheld_divs_amt	1.25	1	2014-15
Hrs_to_prepare_BPI_cnt	1.03	1	2014-15
Help_debt	0.96	1	2014-15
Grs_int_amt	0.91	2	2015-16
Aust_govt_pnsn_allw_amt	1.06	2	2015-16
Unfranked_Div_amt	0.98	2	2015-16
Frk_Div_amt	0.8	2	2015-16
Dividends_franking_cr_amt	0.83	2	2015-16
Gross_rent_amt	1.12	2	2015-16
Other_rent_ded_amt	1.17	2	2015-16
Rent_int_ded_amt	1	2	2015-16
Rent_cap_wks_amt	1.26	2	2015-16
Net_farm_management_amt	0.96	2	2015-16
Total_PP_BI_amt	1.1	2	2015-16
Total_NPP_BI_amt	1.03	2	2015-16
Total_PP_BE_amt	1.19	2	2015-16
Total_NPP_BE_amt	1.16	2	2015-16
Net_CG_amt	1.3	2	2015-16
Tot_CY_CG_amt	1.21	2	2015-16
Net_PT_PP_dsn	1.27	2	2015-16
Net_PT_NPP_dsn	1.11	2	2015-16
Taxed_othr_pnsn_amt	0.95	2	2015-16
Untaxed_othr_pnsn_amt	1.12	2	2015-16
Other_foreign_inc_amt	1.87	2	2015-16
Other_inc_amt	1	2	2015-16
Div_Ded_amt	0.74	2	2015-16
Intrst_Ded_amt	1.1	2	2015-16
Gift_amt	0.98	2	2015-16
PP_loss_claimed	1	2	2015-16
NPP_loss_claimed	0.9	2	2015-16
Rep_frng_ben_amt	1.09	2	2015-16
Med_Exp_TO_amt	0.73	2	2015-16
Asbl_forgn_source_incm_amt	1.14	2	2015-16
Spouse_adjusted_taxable_inc	0.9	2	2015-16
Net_fincl_invstmt_lss_amt	1.08	2	2015-16
Cr_PAYG_ITI_amt	0.94	2	2015-16
TFN_amts_wheld_gr_intst_amt	1.09	2	2015-16
TFN_amts_wheld_divs_amt	1.25	2	2015-16
Hrs_to_prepare_BPI_cnt	1.03	2	2015-16
Help_debt	0.96	2	2015-16
Grs_int_amt	0.91	3	2016-17
Aust_govt_pnsn_allw_amt	1.06	3	2016-17
Unfranked_Div_amt	0.98	3	2016-17
Frk_Div_amt	0.8	3	2016-17
Dividends_franking_cr_amt	0.83	3	2016-17
Gross_rent_amt	1.17	3	2016-17
Other_rent_ded_amt	1.23	3	2016-17
Rent_int_ded_amt	1	3	2016-17
Rent_cap_wks_amt	1.35	3	2016-17
Net_farm_management_amt	0.96	3	2016-17
Total_PP_BI_amt	1.1	3	2016-17
Total_NPP_BI_amt	1.03	3	2016-17
Total_PP_BE_amt	1.19	3	2016-17
Total_NPP_BE_amt	1.16	3	2016-17
Net_CG_amt	1.3	3	2016-17
Tot_CY_CG_amt	1.21	3	2016-17
Net_PT_PP_dsn	1.27	3	2016-17
Net_PT_NPP_dsn	1.15	3	2016-17
Taxed_othr_pnsn_amt	0.95	3	2016-17
Untaxed_othr_pnsn_amt	1.14	3	2016-17
Other_foreign_inc_amt	1.87	3	2016-17
Other_inc_amt	1	3	2016-17
Div_Ded_amt	0.66	3	2016-17
Intrst_Ded_amt	1.1	3	2016-17
Gift_amt	0.98	3	2016-17
PP_loss_claimed	1	3	2016-17
NPP_loss_claimed	0.9	3	2016-17
Rep_frng_ben_amt	1.12	3	2016-17
Med_Exp_TO_amt	0.73	3	2016-17
Asbl_forgn_source_incm_amt	1.14	3	2016-17
Spouse_adjusted_taxable_inc	0.9	3	2016-17
Net_fincl_invstmt_lss_amt	1.08	3	2016-17
Cr_PAYG_ITI_amt	0.94	3	2016-17
TFN_amts_wheld_gr_intst_amt	1.09	3	2016-17
TFN_amts_wheld_divs_amt	1.25	3	2016-17
Hrs_to_prepare_BPI_cnt	1.03	3	2016-17
Help_debt	0.96	3	2016-17
Grs_int_amt	0.91	4	2017-18
Aust_govt_pnsn_allw_amt	1.06	4	2017-18
Unfranked_Div_amt	0.98	4	2017-18
Frk_Div_amt	0.8	4	2017-18
Dividends_franking_cr_amt	0.83	4	2017-18
Gross_rent_amt	1.21	4	2017-18
Other_rent_ded_amt	1.29	4	2017-18
Rent_int_ded_amt	1	4	2017-18
Rent_cap_wks_amt	1.44	4	2017-18
Net_farm_management_amt	0.96	4	2017-18
Total_PP_BI_amt	1.1	4	2017-18
Total_NPP_BI_amt	1.03	4	2017-18
Total_PP_BE_amt	1.19	4	2017-18
Total_NPP_BE_amt	1.16	4	2017-18
Net_CG_amt	1.3	4	2017-18
Tot_CY_CG_amt	1.21	4	2017-18
Net_PT_PP_dsn	1.27	4	2017-18
Net_PT_NPP_dsn	1.2	4	2017-18
Taxed_othr_pnsn_amt	0.95	4	2017-18
Untaxed_othr_pnsn_amt	1.18	4	2017-18
Other_foreign_inc_amt	1.87	4	2017-18
Other_inc_amt	1	4	2017-18
Div_Ded_amt	0.58	4	2017-18
Intrst_Ded_amt	1.1	4	2017-18
Gift_amt	0.98	4	2017-18
PP_loss_claimed	1	4	2017-18
NPP_loss_claimed	0.9	4	2017-18
Rep_frng_ben_amt	1.16	4	2017-18
Med_Exp_TO_amt	0.73	4	2017-18
Asbl_forgn_source_incm_amt	1.14	4	2017-18
Spouse_adjusted_taxable_inc	0.9	4	2017-18
Net_fincl_invstmt_lss_amt	1.08	4	2017-18
Cr_PAYG_ITI_amt	0.94	4	2017-18
TFN_amts_wheld_gr_intst_amt	1.09	4	2017-18
TFN_amts_wheld_divs_amt	1.25	4	2017-18
Hrs_to_prepare_BPI_cnt	1.03	4	2017-18
Help_debt	0.96	4	2017-18
Grs_int_amt	0.91	5	2018-19
Aust_govt_pnsn_allw_amt	1.06	5	2018-19
Unfranked_Div_amt	0.98	5	2018-19
Frk_Div_amt	0.8	5	2018-19
Dividends_franking_cr_amt	0.83	5	2018-19
Gross_rent_amt	1.26	5	2018-19
Other_rent_ded_amt	1.35	5	2018-19
Rent_int_ded_amt	1	5	2018-19
Rent_cap_wks_amt	1.53	5	2018-19
Net_farm_management_amt	0.96	5	2018-19
Total_PP_BI_amt	1.1	5	2018-19
Total_NPP_BI_amt	1.03	5	2018-19
Total_PP_BE_amt	1.19	5	2018-19
Total_NPP_BE_amt	1.16	5	2018-19
Net_CG_amt	1.3	5	2018-19
Tot_CY_CG_amt	1.21	5	2018-19
Net_PT_PP_dsn	1.27	5	2018-19
Net_PT_NPP_dsn	1.24	5	2018-19
Taxed_othr_pnsn_amt	0.95	5	2018-19
Untaxed_othr_pnsn_amt	1.21	5	2018-19
Other_foreign_inc_amt	1.87	5	2018-19
Other_inc_amt	1	5	2018-19
Div_Ded_amt	0.51	5	2018-19
Intrst_Ded_amt	1.1	5	2018-19
Gift_amt	0.98	5	2018-19
PP_loss_claimed	1	5	2018-19
NPP_loss_claimed	0.9	5	2018-19
Rep_frng_ben_amt	1.2	5	2018-19
Med_Exp_TO_amt	0.73	5	2018-19
Asbl_forgn_source_incm_amt	1.14	5	2018-19
Spouse_adjusted_taxable_inc	0.9	5	2018-19
Net_fincl_invstmt_lss_amt	1.08	5	2018-19
Cr_PAYG_ITI_amt	0.94	5	2018-19
TFN_amts_wheld_gr_intst_amt	1.09	5	2018-19
TFN_amts_wheld_divs_amt	1.25	5	2018-19
Hrs_to_prepare_BPI_cnt	1.03	5	2018-19
Help_debt	0.96	5	2018-19
Grs_int_amt	0.91	6	2019-20
Aust_govt_pnsn_allw_amt	1.06	6	2019-20
Unfranked_Div_amt	0.98	6	2019-20
Frk_Div_amt	0.8	6	2019-20
Dividends_franking_cr_amt	0.83	6	2019-20
Gross_rent_amt	1.31	6	2019-20
Other_rent_ded_amt	1.41	6	2019-20
Rent_int_ded_amt	1	6	2019-20
Rent_cap_wks_amt	1.61	6	2019-20
Net_farm_management_amt	0.96	6	2019-20
Total_PP_BI_amt	1.1	6	2019-20
Total_NPP_BI_amt	1.03	6	2019-20
Total_PP_BE_amt	1.19	6	2019-20
Total_NPP_BE_amt	1.16	6	2019-20
Net_CG_amt	1.3	6	2019-20
Tot_CY_CG_amt	1.21	6	2019-20
Net_PT_PP_dsn	1.27	6	2019-20
Net_PT_NPP_dsn	1.28	6	2019-20
Taxed_othr_pnsn_amt	0.95	6	2019-20
Untaxed_othr_pnsn_amt	1.25	6	2019-20
Other_foreign_inc_amt	1.87	6	2019-20
Other_inc_amt	1	6	2019-20
Div_Ded_amt	0.43	6	2019-20
Intrst_Ded_amt	1.1	6	2019-20
Gift_amt	0.98	6	2019-20
PP_loss_claimed	1	6	2019-20
NPP_loss_claimed	0.9	6	2019-20
Rep_frng_ben_amt	1.24	6	2019-20
Med_Exp_TO_amt	0.73	6	2019-20
Asbl_forgn_source_incm_amt	1.14	6	2019-20
Spouse_adjusted_taxable_inc	0.9	6	2019-20
Net_fincl_invstmt_lss_amt	1.08	6	2019-20
Cr_PAYG_ITI_amt	0.94	6	2019-20
TFN_amts_wheld_gr_intst_amt	1.09	6	2019-20
TFN_amts_wheld_divs_amt	1.25	6	2019-20
Hrs_to_prepare_BPI_cnt	1.03	6	2019-20
Help_debt	0.96	6	2019-20
Grs_int_amt	0.91	7	2020-21
Aust_govt_pnsn_allw_amt	1.06	7	2020-21
Unfranked_Div_amt	0.98	7	2020-21
Frk_Div_amt	0.8	7	2020-21
Dividends_franking_cr_amt	0.83	7	2020-21
Gross_rent_amt	1.35	7	2020-21
Other_rent_ded_amt	1.46	7	2020-21
Rent_int_ded_amt	1	7	2020-21
Rent_cap_wks_amt	1.7	7	2020-21
Net_farm_management_amt	0.96	7	2020-21
Total_PP_BI_amt	1.1	7	2020-21
Total_NPP_BI_amt	1.03	7	2020-21
Total_PP_BE_amt	1.19	7	2020-21
Total_NPP_BE_amt	1.16	7	2020-21
Net_CG_amt	1.3	7	2020-21
Tot_CY_CG_amt	1.21	7	2020-21
Net_PT_PP_dsn	1.27	7	2020-21
Net_PT_NPP_dsn	1.32	7	2020-21
Taxed_othr_pnsn_amt	0.95	7	2020-21
Untaxed_othr_pnsn_amt	1.28	7	2020-21
Other_foreign_inc_amt	1.87	7	2020-21
Other_inc_amt	1	7	2020-21
Div_Ded_amt	0.36	7	2020-21
Intrst_Ded_amt	1.1	7	2020-21
Gift_amt	0.98	7	2020-21
PP_loss_claimed	1	7	2020-21
NPP_loss_claimed	0.9	7	2020-21
Rep_frng_ben_amt	1.28	7	2020-21
Med_Exp_TO_amt	0.73	7	2020-21
Asbl_forgn_source_incm_amt	1.14	7	2020-21
Spouse_adjusted_taxable_inc	0.9	7	2020-21
Net_fincl_invstmt_lss_amt	1.08	7	2020-21
Cr_PAYG_ITI_amt	0.94	7	2020-21
TFN_amts_wheld_gr_intst_amt	1.09	7	2020-21
TFN_amts_wheld_divs_amt	1.25	7	2020-21
Hrs_to_prepare_BPI_cnt	1.03	7	2020-21
Help_debt	0.96	7	2020-21
Grs_int_amt	0.91	8	2021-22
Aust_govt_pnsn_allw_amt	1.06	8	2021-22
Unfranked_Div_amt	0.98	8	2021-22
Frk_Div_amt	0.8	8	2021-22
Dividends_franking_cr_amt	0.83	8	2021-22
Gross_rent_amt	1.4	8	2021-22
Other_rent_ded_amt	1.52	8	2021-22
Rent_int_ded_amt	1	8	2021-22
Rent_cap_wks_amt	1.79	8	2021-22
Net_farm_management_amt	0.96	8	2021-22
Total_PP_BI_amt	1.1	8	2021-22
Total_NPP_BI_amt	1.03	8	2021-22
Total_PP_BE_amt	1.19	8	2021-22
Total_NPP_BE_amt	1.16	8	2021-22
Net_CG_amt	1.3	8	2021-22
Tot_CY_CG_amt	1.21	8	2021-22
Net_PT_PP_dsn	1.27	8	2021-22
Net_PT_NPP_dsn	1.36	8	2021-22
Taxed_othr_pnsn_amt	0.95	8	2021-22
Untaxed_othr_pnsn_amt	1.32	8	2021-22
Other_foreign_inc_amt	1.87	8	2021-22
Other_inc_amt	1	8	2021-22
Div_Ded_amt	0.28	8	2021-22
Intrst_Ded_amt	1.1	8	2021-22
Gift_amt	0.98	8	2021-22
PP_loss_claimed	1	8	2021-22
NPP_loss_claimed	0.9	8	2021-22
Rep_frng_ben_amt	1.32	8	2021-22
Med_Exp_TO_amt	0.73	8	2021-22
Asbl_forgn_source_incm_amt	1.14	8	2021-22
Spouse_adjusted_taxable_inc	0.9	8	2021-22
Net_fincl_invstmt_lss_amt	1.08	8	2021-22
Cr_PAYG_ITI_amt	0.94	8	2021-22
TFN_amts_wheld_gr_intst_amt	1.09	8	2021-22
TFN_amts_wheld_divs_amt	1.25	8	2021-22
Hrs_to_prepare_BPI_cnt	1.03	8	2021-22
Help_debt	0.96	8	2021-22
Grs_int_amt	0.91	9	2022-23
Aust_govt_pnsn_allw_amt	1.06	9	2022-23
Unfranked_Div_amt	0.98	9	2022-23
Frk_Div_amt	0.8	9	2022-23
Dividends_franking_cr_amt	0.83	9	2022-23
Gross_rent_amt	1.45	9	2022-23
Other_rent_ded_amt	1.58	9	2022-23
Rent_int_ded_amt	1	9	2022-23
Rent_cap_wks_amt	1.88	9	2022-23
Net_farm_management_amt	0.96	9	2022-23
Total_PP_BI_amt	1.1	9	2022-23
Total_NPP_BI_amt	1.03	9	2022-23
Total_PP_BE_amt	1.19	9	2022-23
Total_NPP_BE_amt	1.16	9	2022-23
Net_CG_amt	1.3	9	2022-23
Tot_CY_CG_amt	1.21	9	2022-23
Net_PT_PP_dsn	1.27	9	2022-23
Net_PT_NPP_dsn	1.4	9	2022-23
Taxed_othr_pnsn_amt	0.95	9	2022-23
Untaxed_othr_pnsn_amt	1.35	9	2022-23
Other_foreign_inc_amt	1.87	9	2022-23
Other_inc_amt	1	9	2022-23
Div_Ded_amt	0.21	9	2022-23
Intrst_Ded_amt	1.1	9	2022-23
Gift_amt	0.98	9	2022-23
PP_loss_claimed	1	9	2022-23
NPP_loss_claimed	0.9	9	2022-23
Rep_frng_ben_amt	1.36	9	2022-23
Med_Exp_TO_amt	0.73	9	2022-23
Asbl_forgn_source_incm_amt	1.14	9	2022-23
Spouse_adjusted_taxable_inc	0.9	9	2022-23
Net_fincl_invstmt_lss_amt	1.08	9	2022-23
Cr_PAYG_ITI_amt	0.94	9	2022-23
TFN_amts_wheld_gr_intst_amt	1.09	9	2022-23
TFN_amts_wheld_divs_amt	1.25	9	2022-23
Hrs_to_prepare_BPI_cnt	1.03	9	2022-23
Help_debt	0.96	9	2022-23
Grs_int_amt	0.91	10	2023-24
Aust_govt_pnsn_allw_amt	1.06	10	2023-24
Unfranked_Div_amt	0.98	10	2023-24
Frk_Div_amt	0.8	10	2023-24
Dividends_franking_cr_amt	0.83	10	2023-24
Gross_rent_amt	1.49	10	2023-24
Other_rent_ded_amt	1.64	10	2023-24
Rent_int_ded_amt	1	10	2023-24
Rent_cap_wks_amt	1.96	10	2023-24
Net_farm_management_amt	0.96	10	2023-24
Total_PP_BI_amt	1.1	10	2023-24
Total_NPP_BI_amt	1.03	10	2023-24
Total_PP_BE_amt	1.19	10	2023-24
Total_NPP_BE_amt	1.16	10	2023-24
Net_CG_amt	1.3	10	2023-24
Tot_CY_CG_amt	1.21	10	2023-24
Net_PT_PP_dsn	1.27	10	2023-24
Net_PT_NPP_dsn	1.44	10	2023-24
Taxed_othr_pnsn_amt	0.95	10	2023-24
Untaxed_othr_pnsn_amt	1.38	10	2023-24
Other_foreign_inc_amt	1.87	10	2023-24
Other_inc_amt	1	10	2023-24
Div_Ded_amt	0.13	10	2023-24
Intrst_Ded_amt	1.1	10	2023-24
Gift_amt	0.98	10	2023-24
PP_loss_claimed	1	10	2023-24
NPP_loss_claimed	0.9	10	2023-24
Rep_frng_ben_amt	1.39	10	2023-24
Med_Exp_TO_amt	0.73	10	2023-24
Asbl_forgn_source_incm_amt	1.14	10	2023-24
Spouse_adjusted_taxable_inc	0.9	10	2023-24
Net_fincl_invstmt_lss_amt	1.08	10	2023-24
Cr_PAYG_ITI_amt	0.94	10	2023-24
TFN_amts_wheld_gr_intst_amt	1.09	10	2023-24
TFN_amts_wheld_divs_amt	1.25	10	2023-24
Hrs_to_prepare_BPI_cnt	1.03	10	2023-24
Help_debt	0.96	10	2023-24
